command,man_page_url
dh_installsystemd,https://man7.org/linux/man-pages/man1/dh_installsystemd.1.html
dh_installsystemduser,https://man7.org/linux/man-pages/man1/dh_installsystemduser.1.html
dh_installtmpfiles,https://man7.org/linux/man-pages/man1/dh_installtmpfiles.1.html
dh_installudev,https://man7.org/linux/man-pages/man1/dh_installudev.1.html
dh_installwm,https://man7.org/linux/man-pages/man1/dh_installwm.1.html
dh_installxfonts,https://man7.org/linux/man-pages/man1/dh_installxfonts.1.html
dh_link,https://man7.org/linux/man-pages/man1/dh_link.1.html
dh_lintian,https://man7.org/linux/man-pages/man1/dh_lintian.1.html
dh_listpackages,https://man7.org/linux/man-pages/man1/dh_listpackages.1.html
dh_makeshlibs,https://man7.org/linux/man-pages/man1/dh_makeshlibs.1.html
dh_md5sums,https://man7.org/linux/man-pages/man1/dh_md5sums.1.html
dh_missing,https://man7.org/linux/man-pages/man1/dh_missing.1.html
dh_movefiles,https://man7.org/linux/man-pages/man1/dh_movefiles.1.html
dh_perl,https://man7.org/linux/man-pages/man1/dh_perl.1.html
dh_prep,https://man7.org/linux/man-pages/man1/dh_prep.1.html
dh_shlibdeps,https://man7.org/linux/man-pages/man1/dh_shlibdeps.1.html
dh_strip,https://man7.org/linux/man-pages/man1/dh_strip.1.html
dh_systemd_enable,https://man7.org/linux/man-pages/man1/dh_systemd_enable.1.html
dh_systemd_start,https://man7.org/linux/man-pages/man1/dh_systemd_start.1.html
dh_testdir,https://man7.org/linux/man-pages/man1/dh_testdir.1.html
dh_testroot,https://man7.org/linux/man-pages/man1/dh_testroot.1.html
dh_ucf,https://man7.org/linux/man-pages/man1/dh_ucf.1.html
dh_update_autotools_config,https://man7.org/linux/man-pages/man1/dh_update_autotools_config.1.html
dh_usrlocal,https://man7.org/linux/man-pages/man1/dh_usrlocal.1.html
diff,https://man7.org/linux/man-pages/man1/diff.1.html
diff,https://man7.org/linux/man-pages/man1/diff.1p.html
diff3,https://man7.org/linux/man-pages/man1/diff3.1.html
dir,https://man7.org/linux/man-pages/man1/dir.1.html
dircolors,https://man7.org/linux/man-pages/man1/dircolors.1.html
dirname,https://man7.org/linux/man-pages/man1/dirname.1.html
dirname,https://man7.org/linux/man-pages/man1/dirname.1p.html
dlltool,https://man7.org/linux/man-pages/man1/dlltool.1.html
dmesg,https://man7.org/linux/man-pages/man1/dmesg.1.html
dnsdomainname,https://man7.org/linux/man-pages/man1/dnsdomainname.1.html
domainname,https://man7.org/linux/man-pages/man1/domainname.1.html
dot,https://man7.org/linux/man-pages/man1/dot.1p.html
dpkg-architecture,https://man7.org/linux/man-pages/man1/dpkg-architecture.1.html
dpkg-buildflags,https://man7.org/linux/man-pages/man1/dpkg-buildflags.1.html
dpkg-buildpackage,https://man7.org/linux/man-pages/man1/dpkg-buildpackage.1.html
